id_cliente;qtd_atendimentos;data_ultimo_atendimento;valor_total_atendimentos;qtd_produtos_vendidos;data_ultima_venda_produto;valor_total_venda_produtos;qtd_pacotes_vendidos;data_ultima_venda_pacote;valor_total_venda_pacotes;valor_total_vendas;valor_total_pendente_conta_aberta;valor_total_pendente_notas_abertas
6991363;0;;0;0;;0;0;;0;0;335.00;0
6994055;0;;0;0;;0;0;;0;0;45.00;0
7013320;0;;0;0;;0;0;;0;0;755.00;0
7025321;0;;0;0;;0;0;;0;0;180.00;0
7026177;0;;0;0;;0;0;;0;0;2140.00;0
7031459;0;;0;0;;0;0;;0;0;1937.00;0
7031978;0;;0;0;;0;0;;0;0;80.00;0
7038989;0;;0;0;;0;0;;0;0;1230.00;0
7041293;0;;0;0;;0;0;;0;0;1085.00;0
7048581;0;;0;0;;0;0;;0;0;225.00;0
7048721;0;;0;0;;0;0;;0;0;630.00;0
7055457;0;;0;0;;0;0;;0;0;800.00;0
7062611;0;;0;0;;0;0;;0;0;700.00;0
7067192;0;;0;0;;0;0;;0;0;650.00;0
7078402;0;;0;0;;0;0;;0;0;810.00;0
7088346;0;;0;0;;0;0;;0;0;375.00;0
7094385;0;;0;0;;0;0;;0;0;210.00;0
7099034;0;;0;0;;0;0;;0;0;370.00;0
7102909;0;;0;0;;0;0;;0;0;825.00;0
7103235;0;;0;0;;0;0;;0;0;45.00;0
7113799;0;;0;0;;0;0;;0;0;1070.00;0
7116400;0;;0;0;;0;0;;0;0;80.00;0
7148583;0;;0;0;;0;0;;0;0;2021.00;0
7171232;0;;0;0;;0;0;;0;0;165.00;0
7176501;0;;0;0;;0;0;;0;0;5327.00;0
7206373;0;;0;0;;0;0;;0;0;135.00;0
7213165;0;;0;0;;0;0;;0;0;365.00;0
7213289;0;;0;0;;0;0;;0;0;50.00;0
7213933;0;;0;0;;0;0;;0;0;770.00;0
7216036;0;;0;0;;0;0;;0;0;495.00;0
7222680;0;;0;0;;0;0;;0;0;720.00;0
7224325;0;;0;0;;0;0;;0;0;515.00;0
7225909;0;;0;0;;0;0;;0;0;410.00;0
7229050;0;;0;0;;0;0;;0;0;45.00;0
7230543;0;;0;0;;0;0;;0;0;90.00;0
7230593;0;;0;0;;0;0;;0;0;125.00;0
7233314;0;;0;0;;0;0;;0;0;170.00;0
7234939;0;;0;0;;0;0;;0;0;515.00;0
7244086;0;;0;0;;0;0;;0;0;300.00;0
7245499;0;;0;0;;0;0;;0;0;627.50;0
7247374;0;;0;0;;0;0;;0;0;120.00;0
7256364;0;;0;0;;0;0;;0;0;655.00;0
7258291;0;;0;0;;0;0;;0;0;675.00;0
7261643;0;;0;0;;0;0;;0;0;45.00;0
7262832;0;;0;0;;0;0;;0;0;995.00;0
7272126;0;;0;0;;0;0;;0;0;640.00;0
7285114;0;;0;0;;0;0;;0;0;240.00;0
7317373;0;;0;0;;0;0;;0;0;435.00;0
7324057;0;;0;0;;0;0;;0;0;510.00;0
7324715;0;;0;0;;0;0;;0;0;445.00;0
7329379;0;;0;0;;0;0;;0;0;150.00;0
7332693;0;;0;0;;0;0;;0;0;505.00;0
7333465;0;;0;0;;0;0;;0;0;1000.00;0
7333492;0;;0;0;;0;0;;0;0;135.00;0
7339567;0;;0;0;;0;0;;0;0;260.00;0
7342387;0;;0;0;;0;0;;0;0;185.00;0
7351567;0;;0;0;;0;0;;0;0;695.00;0
7360460;0;;0;0;;0;0;;0;0;525.00;0
7370048;0;;0;0;;0;0;;0;0;45.00;0
7371571;0;;0;0;;0;0;;0;0;390.00;0
7384301;0;;0;0;;0;0;;0;0;1146.00;0
7387291;0;;0;0;;0;0;;0;0;265.00;0
7387792;0;;0;0;;0;0;;0;0;90.00;0
7387813;0;;0;0;;0;0;;0;0;1065.00;0
7392046;0;;0;0;;0;0;;0;0;895.00;0
7393901;0;;0;0;;0;0;;0;0;200.00;0
7393974;0;;0;0;;0;0;;0;0;460.00;0
7497088;0;;0;0;;0;0;;0;0;85.00;0
7507821;0;;0;0;;0;0;;0;0;220.00;0
7511434;0;;0;0;;0;0;;0;0;500.00;0
7523151;0;;0;0;;0;0;;0;0;720.00;0
7553328;0;;0;0;;0;0;;0;0;510.00;0
7553698;0;;0;0;;0;0;;0;0;60.00;0
7560951;0;;0;0;;0;0;;0;0;360.00;0
7579324;0;;0;0;;0;0;;0;0;125.00;0
7593042;0;;0;0;;0;0;;0;0;100.00;0
7610970;0;;0;0;;0;0;;0;0;450.00;0
7617514;0;;0;0;;0;0;;0;0;230.00;0
7620743;0;;0;0;;0;0;;0;0;495.00;0
7639166;0;;0;0;;0;0;;0;0;345.00;0
7688062;0;;0;0;;0;0;;0;0;60.00;0
7694496;0;;0;0;;0;0;;0;0;35.00;0
7726159;0;;0;0;;0;0;;0;0;320.00;0
7731458;0;;0;0;;0;0;;0;0;272.00;0
7734481;0;;0;0;;0;0;;0;0;785.00;0
7738040;0;;0;0;;0;0;;0;0;105.00;0
7739166;0;;0;0;;0;0;;0;0;765.00;0
7745271;0;;0;0;;0;0;;0;0;45.00;0
7749519;0;;0;0;;0;0;;0;0;45.00;0
7754987;0;;0;0;;0;0;;0;0;70.00;0
7756222;0;;0;0;;0;0;;0;0;780.00;0
7759457;0;;0;0;;0;0;;0;0;960.00;0
7763081;0;;0;0;;0;0;;0;0;240.00;0
7783205;0;;0;0;;0;0;;0;0;630.00;0
7789167;0;;0;0;;0;0;;0;0;360.00;0
7792416;0;;0;0;;0;0;;0;0;250.00;0
7794415;0;;0;0;;0;0;;0;0;70.00;0
7794452;0;;0;0;;0;0;;0;0;60.00;0
7815530;0;;0;0;;0;0;;0;0;1255.00;0
7819796;0;;0;0;;0;0;;0;0;35.00;0
7824008;0;;0;0;;0;0;;0;0;50.00;0
7869070;0;;0;0;;0;0;;0;0;90.00;0
7885033;0;;0;0;;0;0;;0;0;50.00;0
7887103;0;;0;0;;0;0;;0;0;135.00;0
7924730;0;;0;0;;0;0;;0;0;225.00;0
7925414;0;;0;0;;0;0;;0;0;80.00;0
7929117;0;;0;0;;0;0;;0;0;135.00;0
7930300;0;;0;0;;0;0;;0;0;35.00;0
7945126;0;;0;0;;0;0;;0;0;510.00;0
7946652;0;;0;0;;0;0;;0;0;260.00;0
7949403;0;;0;0;;0;0;;0;0;195.00;0
7986780;0;;0;0;;0;0;;0;0;45.00;0
7999217;0;;0;0;;0;0;;0;0;150.00;0
8015609;0;;0;0;;0;0;;0;0;125.00;0
8039964;0;;0;0;;0;0;;0;0;330.00;0
8048314;0;;0;0;;0;0;;0;0;505.00;0
8055926;0;;0;0;;0;0;;0;0;250.00;0
8080664;0;;0;0;;0;0;;0;0;255.00;0
8083018;0;;0;0;;0;0;;0;0;615.00;0
8090371;0;;0;0;;0;0;;0;0;150.00;0
8094381;0;;0;0;;0;0;;0;0;90.00;0
8126217;0;;0;0;;0;0;;0;0;45.00;0
8141350;0;;0;0;;0;0;;0;0;135.00;0
8197120;0;;0;0;;0;0;;0;0;180.00;0
8206687;0;;0;0;;0;0;;0;0;170.00;0
8208596;0;;0;0;;0;0;;0;0;35.00;0
8211378;0;;0;0;;0;0;;0;0;105.00;0
8242468;0;;0;0;;0;0;;0;0;2670.00;0
8246226;0;;0;0;;0;0;;0;0;135.00;0
8246244;0;;0;0;;0;0;;0;0;220.00;0
8261930;0;;0;0;;0;0;;0;0;150.00;0
8261969;0;;0;0;;0;0;;0;0;140.00;0
8262308;0;;0;0;;0;0;;0;0;45.00;0
8262360;0;;0;0;;0;0;;0;0;881.00;0
8262366;0;;0;0;;0;0;;0;0;45.00;0
8281310;0;;0;0;;0;0;;0;0;375.00;0
8283357;0;;0;0;;0;0;;0;0;0.00;0
8284630;0;;0;0;;0;0;;0;0;294.00;0
8285664;0;;0;0;;0;0;;0;0;90.00;0
8288898;0;;0;0;;0;0;;0;0;500.00;0
8289056;0;;0;0;;0;0;;0;0;90.00;0
8321162;0;;0;0;;0;0;;0;0;195.00;0
8410986;0;;0;0;;0;0;;0;0;35.00;0
8457169;0;;0;0;;0;0;;0;0;105.00;0
8462913;0;;0;0;;0;0;;0;0;35.00;0
8526013;0;;0;0;;0;0;;0;0;1030.00;0
8615375;0;;0;0;;0;0;;0;0;150.00;0
8675733;0;;0;0;;0;0;;0;0;240.00;0
8826653;0;;0;0;;0;0;;0;0;465.00;0
8840867;0;;0;0;;0;0;;0;0;345.00;0
8840895;0;;0;0;;0;0;;0;0;315.00;0
8897135;0;;0;0;;0;0;;0;0;90.00;0
8931144;0;;0;0;;0;0;;0;0;45.00;0
8931455;0;;0;0;;0;0;;0;0;530.00;0
9026554;0;;0;0;;0;0;;0;0;845.00;0
9040344;0;;0;0;;0;0;;0;0;210.00;0
9041546;0;;0;0;;0;0;;0;0;530.00;0
9047055;0;;0;0;;0;0;;0;0;1010.00;0
9078530;0;;0;0;;0;0;;0;0;120.00;0
9088073;0;;0;0;;0;0;;0;0;285.00;0
9186562;0;;0;0;;0;0;;0;0;345.00;0
9202052;0;;0;0;;0;0;;0;0;490.00;0
9235553;0;;0;0;;0;0;;0;0;205.00;0
9235598;0;;0;0;;0;0;;0;0;340.00;0
9324128;0;;0;0;;0;0;;0;0;105.00;0
9326957;0;;0;0;;0;0;;0;0;90.00;0
9342071;0;;0;0;;0;0;;0;0;210.00;0
9349689;0;;0;0;;0;0;;0;0;82.00;0
9407306;0;;0;0;;0;0;;0;0;493.00;0
9420406;0;;0;0;;0;0;;0;0;50.00;0
